County,State,State_Code,Location,Year,Party,Candidate,Candidate_Votes,Total_Votes,County_Pop_2016
Autauga,Alabama,AL,"Alabama, Autauga",2016,democrat,Hillary Clinton,5936.0,24973,"55,243"
Autauga,Alabama,AL,"Alabama, Autauga",2016,republican,Donald Trump,18172.0,24973,"55,243"
Baldwin,Alabama,AL,"Alabama, Baldwin",2016,democrat,Hillary Clinton,18458.0,95215,"207,601"
Baldwin,Alabama,AL,"Alabama, Baldwin",2016,republican,Donald Trump,72883.0,95215,"207,601"
Barbour,Alabama,AL,"Alabama, Barbour",2016,democrat,Hillary Clinton,4871.0,10469,"25,806"
Barbour,Alabama,AL,"Alabama, Barbour",2016,republican,Donald Trump,5454.0,10469,"25,806"
Bibb,Alabama,AL,"Alabama, Bibb",2016,democrat,Hillary Clinton,1874.0,8819,"22,586"
Bibb,Alabama,AL,"Alabama, Bibb",2016,republican,Donald Trump,6738.0,8819,"22,586"
Blount,Alabama,AL,"Alabama, Blount",2016,democrat,Hillary Clinton,2156.0,25588,"57,494"
Blount,Alabama,AL,"Alabama, Blount",2016,republican,Donald Trump,22859.0,25588,"57,494"
Bullock,Alabama,AL,"Alabama, Bullock",2016,democrat,Hillary Clinton,3530.0,4710,"10,389"
Bullock,Alabama,AL,"Alabama, Bullock",2016,republican,Donald Trump,1140.0,4710,"10,389"
Butler,Alabama,AL,"Alabama, Butler",2016,democrat,Hillary Clinton,3726.0,8732,"20,012"
Butler,Alabama,AL,"Alabama, Butler",2016,republican,Donald Trump,4901.0,8732,"20,012"
Calhoun,Alabama,AL,"Alabama, Calhoun",2016,democrat,Hillary Clinton,13242.0,47864,"114,973"
Calhoun,Alabama,AL,"Alabama, Calhoun",2016,republican,Donald Trump,32865.0,47864,"114,973"
Chambers,Alabama,AL,"Alabama, Chambers",2016,democrat,Hillary Clinton,5784.0,13900,"33,745"
Chambers,Alabama,AL,"Alabama, Chambers",2016,republican,Donald Trump,7843.0,13900,"33,745"
Cherokee,Alabama,AL,"Alabama, Cherokee",2016,democrat,Hillary Clinton,1547.0,10733,"25,768"
Cherokee,Alabama,AL,"Alabama, Cherokee",2016,republican,Donald Trump,8953.0,10733,"25,768"
Chilton,Alabama,AL,"Alabama, Chilton",2016,democrat,Hillary Clinton,2911.0,18369,"43,866"
Chilton,Alabama,AL,"Alabama, Chilton",2016,republican,Donald Trump,15081.0,18369,"43,866"
Choctaw,Alabama,AL,"Alabama, Choctaw",2016,democrat,Hillary Clinton,3109.0,7292,"13,045"
Choctaw,Alabama,AL,"Alabama, Choctaw",2016,republican,Donald Trump,4106.0,7292,"13,045"
Clarke,Alabama,AL,"Alabama, Clarke",2016,democrat,Hillary Clinton,5749.0,13031,"24,340"
Clarke,Alabama,AL,"Alabama, Clarke",2016,republican,Donald Trump,7140.0,13031,"24,340"
Clay,Alabama,AL,"Alabama, Clay",2016,democrat,Hillary Clinton,1237.0,6624,"13,393"
Clay,Alabama,AL,"Alabama, Clay",2016,republican,Donald Trump,5245.0,6624,"13,393"
Cleburne,Alabama,AL,"Alabama, Cleburne",2016,democrat,Hillary Clinton,684.0,6593,"14,848"
Cleburne,Alabama,AL,"Alabama, Cleburne",2016,republican,Donald Trump,5764.0,6593,"14,848"
Coffee,Alabama,AL,"Alabama, Coffee",2016,democrat,Hillary Clinton,4221.0,20767,"51,202"
Coffee,Alabama,AL,"Alabama, Coffee",2016,republican,Donald Trump,15875.0,20767,"51,202"
