Location,State_Code_x,County,State,State_Code_y,Party,Candidate,Total_Votes,County_Pop_2016
"Alabama, Autauga",AL,Autauga,Alabama,AL,democrat,Hillary Clinton,24973,"55,243"
"Alabama, Autauga",AL,Autauga,Alabama,AL,republican,Donald Trump,24973,"55,243"
"Alabama, Baldwin",AL,Baldwin,Alabama,AL,democrat,Hillary Clinton,95215,"207,601"
"Alabama, Baldwin",AL,Baldwin,Alabama,AL,republican,Donald Trump,95215,"207,601"
"Alabama, Barbour",AL,Barbour,Alabama,AL,democrat,Hillary Clinton,10469,"25,806"
"Alabama, Barbour",AL,Barbour,Alabama,AL,republican,Donald Trump,10469,"25,806"
"Alabama, Bibb",AL,Bibb,Alabama,AL,democrat,Hillary Clinton,8819,"22,586"
"Alabama, Bibb",AL,Bibb,Alabama,AL,republican,Donald Trump,8819,"22,586"
"Alabama, Blount",AL,Blount,Alabama,AL,democrat,Hillary Clinton,25588,"57,494"
"Alabama, Blount",AL,Blount,Alabama,AL,republican,Donald Trump,25588,"57,494"
"Alabama, Bullock",AL,Bullock,Alabama,AL,democrat,Hillary Clinton,4710,"10,389"
"Alabama, Bullock",AL,Bullock,Alabama,AL,republican,Donald Trump,4710,"10,389"
"Alabama, Butler",AL,Butler,Alabama,AL,democrat,Hillary Clinton,8732,"20,012"
"Alabama, Butler",AL,Butler,Alabama,AL,republican,Donald Trump,8732,"20,012"
"Alabama, Calhoun",AL,Calhoun,Alabama,AL,democrat,Hillary Clinton,47864,"114,973"
"Alabama, Calhoun",AL,Calhoun,Alabama,AL,republican,Donald Trump,47864,"114,973"
"Alabama, Chambers",AL,Chambers,Alabama,AL,democrat,Hillary Clinton,13900,"33,745"
"Alabama, Chambers",AL,Chambers,Alabama,AL,republican,Donald Trump,13900,"33,745"
"Alabama, Cherokee",AL,Cherokee,Alabama,AL,democrat,Hillary Clinton,10733,"25,768"
"Alabama, Cherokee",AL,Cherokee,Alabama,AL,republican,Donald Trump,10733,"25,768"
"Alabama, Chilton",AL,Chilton,Alabama,AL,democrat,Hillary Clinton,18369,"43,866"
"Alabama, Chilton",AL,Chilton,Alabama,AL,republican,Donald Trump,18369,"43,866"
"Alabama, Choctaw",AL,Choctaw,Alabama,AL,democrat,Hillary Clinton,7292,"13,045"
"Alabama, Choctaw",AL,Choctaw,Alabama,AL,republican,Donald Trump,7292,"13,045"
"Alabama, Clarke",AL,Clarke,Alabama,AL,democrat,Hillary Clinton,13031,"24,340"
"Alabama, Clarke",AL,Clarke,Alabama,AL,republican,Donald Trump,13031,"24,340"
"Alabama, Clay",AL,Clay,Alabama,AL,democrat,Hillary Clinton,6624,"13,393"
"Alabama, Clay",AL,Clay,Alabama,AL,republican,Donald Trump,6624,"13,393"
"Alabama, Cleburne",AL,Cleburne,Alabama,AL,democrat,Hillary Clinton,6593,"14,848"
"Alabama, Cleburne",AL,Cleburne,Alabama,AL,republican,Donald Trump,6593,"14,848"
