location,year,state,state_po,county,candidate,party,candidatevotes,totalvotes,Location
"Alabama, Autauga",2000,Alabama,AL,Autauga,Al Gore,democrat,4942.0,17208,"Alabama, Autauga"
"Alabama, Autauga",2000,Alabama,AL,Autauga,George W. Bush,republican,11993.0,17208,"Alabama, Autauga"
"Alabama, Autauga",2000,Alabama,AL,Autauga,Ralph Nader,green,160.0,17208,"Alabama, Autauga"
"Alabama, Baldwin",2000,Alabama,AL,Baldwin,Al Gore,democrat,13997.0,56480,"Alabama, Baldwin"
"Alabama, Baldwin",2000,Alabama,AL,Baldwin,George W. Bush,republican,40872.0,56480,"Alabama, Baldwin"
"Alabama, Baldwin",2000,Alabama,AL,Baldwin,Ralph Nader,green,1033.0,56480,"Alabama, Baldwin"
"Alabama, Barbour",2000,Alabama,AL,Barbour,Al Gore,democrat,5188.0,10395,"Alabama, Barbour"
"Alabama, Barbour",2000,Alabama,AL,Barbour,George W. Bush,republican,5096.0,10395,"Alabama, Barbour"
"Alabama, Barbour",2000,Alabama,AL,Barbour,Ralph Nader,green,46.0,10395,"Alabama, Barbour"
"Alabama, Bibb",2000,Alabama,AL,Bibb,Al Gore,democrat,2710.0,7101,"Alabama, Bibb"
"Alabama, Bibb",2000,Alabama,AL,Bibb,George W. Bush,republican,4273.0,7101,"Alabama, Bibb"
"Alabama, Bibb",2000,Alabama,AL,Bibb,Ralph Nader,green,52.0,7101,"Alabama, Bibb"
"Alabama, Blount",2000,Alabama,AL,Blount,Al Gore,democrat,4977.0,17973,"Alabama, Blount"
"Alabama, Blount",2000,Alabama,AL,Blount,George W. Bush,republican,12667.0,17973,"Alabama, Blount"
"Alabama, Blount",2000,Alabama,AL,Blount,Ralph Nader,green,154.0,17973,"Alabama, Blount"
"Alabama, Bullock",2000,Alabama,AL,Bullock,Al Gore,democrat,3395.0,4904,"Alabama, Bullock"
"Alabama, Bullock",2000,Alabama,AL,Bullock,George W. Bush,republican,1433.0,4904,"Alabama, Bullock"
"Alabama, Bullock",2000,Alabama,AL,Bullock,Ralph Nader,green,24.0,4904,"Alabama, Bullock"
"Alabama, Butler",2000,Alabama,AL,Butler,Al Gore,democrat,3606.0,7803,"Alabama, Butler"
"Alabama, Butler",2000,Alabama,AL,Butler,George W. Bush,republican,4127.0,7803,"Alabama, Butler"
"Alabama, Butler",2000,Alabama,AL,Butler,Ralph Nader,green,36.0,7803,"Alabama, Butler"
"Alabama, Calhoun",2000,Alabama,AL,Calhoun,Al Gore,democrat,15781.0,38909,"Alabama, Calhoun"
"Alabama, Calhoun",2000,Alabama,AL,Calhoun,George W. Bush,republican,22306.0,38909,"Alabama, Calhoun"
"Alabama, Calhoun",2000,Alabama,AL,Calhoun,Ralph Nader,green,481.0,38909,"Alabama, Calhoun"
"Alabama, Chambers",2000,Alabama,AL,Chambers,Al Gore,democrat,5616.0,11834,"Alabama, Chambers"
"Alabama, Chambers",2000,Alabama,AL,Chambers,George W. Bush,republican,6037.0,11834,"Alabama, Chambers"
"Alabama, Chambers",2000,Alabama,AL,Chambers,Ralph Nader,green,95.0,11834,"Alabama, Chambers"
"Alabama, Cherokee",2000,Alabama,AL,Cherokee,Al Gore,democrat,3497.0,7823,"Alabama, Cherokee"
"Alabama, Cherokee",2000,Alabama,AL,Cherokee,George W. Bush,republican,4154.0,7823,"Alabama, Cherokee"
"Alabama, Cherokee",2000,Alabama,AL,Cherokee,Ralph Nader,green,77.0,7823,"Alabama, Cherokee"
"Alabama, Chilton",2000,Alabama,AL,Chilton,Al Gore,democrat,4806.0,15092,"Alabama, Chilton"
"Alabama, Chilton",2000,Alabama,AL,Chilton,George W. Bush,republican,10066.0,15092,"Alabama, Chilton"
"Alabama, Chilton",2000,Alabama,AL,Chilton,Ralph Nader,green,92.0,15092,"Alabama, Chilton"
"Alabama, Choctaw",2000,Alabama,AL,Choctaw,Al Gore,democrat,3707.0,7374,"Alabama, Choctaw"
"Alabama, Choctaw",2000,Alabama,AL,Choctaw,George W. Bush,republican,3600.0,7374,"Alabama, Choctaw"
"Alabama, Choctaw",2000,Alabama,AL,Choctaw,Ralph Nader,green,33.0,7374,"Alabama, Choctaw"
"Alabama, Clarke",2000,Alabama,AL,Clarke,Al Gore,democrat,4679.0,10752,"Alabama, Clarke"
"Alabama, Clarke",2000,Alabama,AL,Clarke,George W. Bush,republican,5988.0,10752,"Alabama, Clarke"
"Alabama, Clarke",2000,Alabama,AL,Clarke,Ralph Nader,green,33.0,10752,"Alabama, Clarke"
"Alabama, Clay",2000,Alabama,AL,Clay,Al Gore,democrat,2045.0,5883,"Alabama, Clay"
"Alabama, Clay",2000,Alabama,AL,Clay,George W. Bush,republican,3719.0,5883,"Alabama, Clay"
"Alabama, Clay",2000,Alabama,AL,Clay,Ralph Nader,green,52.0,5883,"Alabama, Clay"
"Alabama, Cleburne",2000,Alabama,AL,Cleburne,Al Gore,democrat,1664.0,5092,"Alabama, Cleburne"
"Alabama, Cleburne",2000,Alabama,AL,Cleburne,George W. Bush,republican,3333.0,5092,"Alabama, Cleburne"
"Alabama, Cleburne",2000,Alabama,AL,Cleburne,Ralph Nader,green,39.0,5092,"Alabama, Cleburne"
"Alabama, Coffee",2000,Alabama,AL,Coffee,Al Gore,democrat,5220.0,15434,"Alabama, Coffee"
"Alabama, Coffee",2000,Alabama,AL,Coffee,George W. Bush,republican,9938.0,15434,"Alabama, Coffee"
"Alabama, Coffee",2000,Alabama,AL,Coffee,Ralph Nader,green,155.0,15434,"Alabama, Coffee"
"Alabama, Colbert",2000,Alabama,AL,Colbert,Al Gore,democrat,10543.0,21532,"Alabama, Colbert"
