year,state,state_code,county,candidate,party,candidate_votes,total_votes,Location
2004,Alabama,AL,Autauga,John Kerry,democrat,4758.0,20081,"Alabama, Autauga"
2004,Alabama,AL,Autauga,George W. Bush,republican,15196.0,20081,"Alabama, Autauga"
2004,Alabama,AL,Baldwin,John Kerry,democrat,15599.0,69320,"Alabama, Baldwin"
2004,Alabama,AL,Baldwin,George W. Bush,republican,52971.0,69320,"Alabama, Baldwin"
2004,Alabama,AL,Barbour,John Kerry,democrat,4832.0,10777,"Alabama, Barbour"
2004,Alabama,AL,Barbour,George W. Bush,republican,5899.0,10777,"Alabama, Barbour"
2004,Alabama,AL,Bibb,John Kerry,democrat,2089.0,7600,"Alabama, Bibb"
2004,Alabama,AL,Bibb,George W. Bush,republican,5472.0,7600,"Alabama, Bibb"
2004,Alabama,AL,Blount,John Kerry,democrat,3938.0,21504,"Alabama, Blount"
2004,Alabama,AL,Blount,George W. Bush,republican,17386.0,21504,"Alabama, Blount"
2004,Alabama,AL,Bullock,John Kerry,democrat,3210.0,4717,"Alabama, Bullock"
2004,Alabama,AL,Bullock,George W. Bush,republican,1494.0,4717,"Alabama, Bullock"
2004,Alabama,AL,Butler,John Kerry,democrat,3413.0,8416,"Alabama, Butler"
2004,Alabama,AL,Butler,George W. Bush,republican,4979.0,8416,"Alabama, Butler"
2004,Alabama,AL,Calhoun,John Kerry,democrat,15083.0,45249,"Alabama, Calhoun"
2004,Alabama,AL,Calhoun,George W. Bush,republican,29814.0,45249,"Alabama, Calhoun"
2004,Alabama,AL,Chambers,John Kerry,democrat,5347.0,13032,"Alabama, Chambers"
2004,Alabama,AL,Chambers,George W. Bush,republican,7622.0,13032,"Alabama, Chambers"
2004,Alabama,AL,Cherokee,John Kerry,democrat,3040.0,9049,"Alabama, Cherokee"
2004,Alabama,AL,Cherokee,George W. Bush,republican,5923.0,9049,"Alabama, Cherokee"
2004,Alabama,AL,Chilton,John Kerry,democrat,3778.0,16693,"Alabama, Chilton"
2004,Alabama,AL,Chilton,George W. Bush,republican,12829.0,16693,"Alabama, Chilton"
2004,Alabama,AL,Choctaw,John Kerry,democrat,3303.0,7227,"Alabama, Choctaw"
2004,Alabama,AL,Choctaw,George W. Bush,republican,3897.0,7227,"Alabama, Choctaw"
2004,Alabama,AL,Clarke,John Kerry,democrat,4627.0,11394,"Alabama, Clarke"
