location,year,state,state_code,county,candidate,party,candidate_votes,total_votes,Location
"Alabama, Autauga",2016,Alabama,AL,Autauga,Hillary Clinton,democrat,5936.0,24973,"Alabama, Autauga"
"Alabama, Autauga",2016,Alabama,AL,Autauga,Donald Trump,republican,18172.0,24973,"Alabama, Autauga"
"Alabama, Baldwin",2016,Alabama,AL,Baldwin,Hillary Clinton,democrat,18458.0,95215,"Alabama, Baldwin"
"Alabama, Baldwin",2016,Alabama,AL,Baldwin,Donald Trump,republican,72883.0,95215,"Alabama, Baldwin"
"Alabama, Barbour",2016,Alabama,AL,Barbour,Hillary Clinton,democrat,4871.0,10469,"Alabama, Barbour"
"Alabama, Barbour",2016,Alabama,AL,Barbour,Donald Trump,republican,5454.0,10469,"Alabama, Barbour"
"Alabama, Bibb",2016,Alabama,AL,Bibb,Hillary Clinton,democrat,1874.0,8819,"Alabama, Bibb"
"Alabama, Bibb",2016,Alabama,AL,Bibb,Donald Trump,republican,6738.0,8819,"Alabama, Bibb"
"Alabama, Blount",2016,Alabama,AL,Blount,Hillary Clinton,democrat,2156.0,25588,"Alabama, Blount"
"Alabama, Blount",2016,Alabama,AL,Blount,Donald Trump,republican,22859.0,25588,"Alabama, Blount"
"Alabama, Bullock",2016,Alabama,AL,Bullock,Hillary Clinton,democrat,3530.0,4710,"Alabama, Bullock"
"Alabama, Bullock",2016,Alabama,AL,Bullock,Donald Trump,republican,1140.0,4710,"Alabama, Bullock"
"Alabama, Butler",2016,Alabama,AL,Butler,Hillary Clinton,democrat,3726.0,8732,"Alabama, Butler"
"Alabama, Butler",2016,Alabama,AL,Butler,Donald Trump,republican,4901.0,8732,"Alabama, Butler"
"Alabama, Calhoun",2016,Alabama,AL,Calhoun,Hillary Clinton,democrat,13242.0,47864,"Alabama, Calhoun"
"Alabama, Calhoun",2016,Alabama,AL,Calhoun,Donald Trump,republican,32865.0,47864,"Alabama, Calhoun"
"Alabama, Chambers",2016,Alabama,AL,Chambers,Hillary Clinton,democrat,5784.0,13900,"Alabama, Chambers"
"Alabama, Chambers",2016,Alabama,AL,Chambers,Donald Trump,republican,7843.0,13900,"Alabama, Chambers"
"Alabama, Cherokee",2016,Alabama,AL,Cherokee,Hillary Clinton,democrat,1547.0,10733,"Alabama, Cherokee"
"Alabama, Cherokee",2016,Alabama,AL,Cherokee,Donald Trump,republican,8953.0,10733,"Alabama, Cherokee"
"Alabama, Chilton",2016,Alabama,AL,Chilton,Hillary Clinton,democrat,2911.0,18369,"Alabama, Chilton"
"Alabama, Chilton",2016,Alabama,AL,Chilton,Donald Trump,republican,15081.0,18369,"Alabama, Chilton"
