Location,total_votes,2000_republican_votes,2000_democrat_votes
"Alabama, Autauga",17208,11993.0,4942.0
"Alabama, Baldwin",56480,40872.0,13997.0
"Alabama, Barbour",10395,5096.0,5188.0
"Alabama, Bibb",7101,4273.0,2710.0
"Alabama, Blount",17973,12667.0,4977.0
"Alabama, Bullock",4904,1433.0,3395.0
"Alabama, Butler",7803,4127.0,3606.0
"Alabama, Calhoun",38909,22306.0,15781.0
"Alabama, Chambers",11834,6037.0,5616.0
"Alabama, Cherokee",7823,4154.0,3497.0
"Alabama, Chilton",15092,10066.0,4806.0
"Alabama, Choctaw",7374,3600.0,3707.0
"Alabama, Clarke",10752,5988.0,4679.0
"Alabama, Clay",5883,3719.0,2045.0
"Alabama, Cleburne",5092,3333.0,1664.0
"Alabama, Coffee",15434,9938.0,5220.0
"Alabama, Colbert",21532,10518.0,10543.0
"Alabama, Conecuh",5551,2699.0,2783.0
"Alabama, Coosa",4567,2382.0,2104.0
"Alabama, Covington",13613,8961.0,4440.0
"Alabama, Crenshaw",4795,2793.0,1934.0
"Alabama, Cullman",29525,19157.0,9758.0
"Alabama, Dale",15806,10593.0,4906.0
"Alabama, Dallas",18464,7360.0,10967.0
"Alabama, DeKalb",20285,12827.0,7056.0
"Alabama, Elmore",23804,16777.0,6652.0
"Alabama, Escambia",11660,6975.0,4523.0
"Alabama, Etowah",39348,21087.0,17433.0
"Alabama, Fayette",7808,4582.0,3064.0
"Alabama, Franklin",11103,6119.0,4793.0
"Alabama, Geneva",9559,6588.0,2769.0
"Alabama, Greene",4396,850.0,3504.0
"Alabama, Hale",7731,2984.0,4652.0
"Alabama, Henry",6932,4054.0,2782.0
"Alabama, Houston",32057,22150.0,9412.0
"Alabama, Jackson",17906,8475.0,9066.0
"Alabama, Jefferson",273763,138491.0,129889.0
"Alabama, Lamar",7249,4470.0,2653.0
"Alabama, Lauderdale",32137,17478.0,13875.0
"Alabama, Lawrence",12185,5671.0,6296.0
"Alabama, Lee",38264,22433.0,14574.0
"Alabama, Limestone",23634,14204.0,8992.0
"Alabama, Lowndes",6243,1638.0,4557.0
"Alabama, Macon",8831,1091.0,7665.0
"Alabama, Madison",113318,62151.0,48199.0
"Alabama, Marengo",9608,4690.0,4841.0
"Alabama, Marion",11756,6910.0,4600.0
"Alabama, Marshall",27989,17084.0,10381.0
"Alabama, Mobile",139745,78162.0,58640.0
"Alabama, Monroe",8951,5153.0,3741.0
"Alabama, Montgomery",80328,38827.0,40371.0
"Alabama, Morgan",42681,25774.0,16060.0
"Alabama, Perry",5787,1732.0,4020.0
"Alabama, Pickens",8540,4306.0,4143.0
"Alabama, Pike",10544,6058.0,4357.0
"Alabama, Randolph",7919,4666.0,3094.0
"Alabama, Russell",14775,6198.0,8396.0
"Alabama, St. Clair",24090,17117.0,6485.0
"Alabama, Shelby",62128,47651.0,13183.0
"Alabama, Sumter",6088,1629.0,4415.0
"Alabama, Talladega",25451,13807.0,11264.0
"Alabama, Tallapoosa",16253,9805.0,6183.0
"Alabama, Tuscaloosa",60114,34003.0,24614.0
"Alabama, Walker",25641,13486.0,11621.0
"Alabama, Washington",7596,4117.0,3386.0
"Alabama, Wilcox",5126,1661.0,3444.0
"Alabama, Winston",9318,6413.0,2692.0
"Arizona, Apache",19456,5947.0,13025.0
"Arizona, Cochise",33241,18180.0,13360.0
"Arizona, Coconino",40883,17562.0,20280.0
"Arizona, Gila",17736,9158.0,7700.0
"Arizona, Graham",9664,6007.0,3355.0
"Arizona, Greenlee",2960,1619.0,1216.0
"Arizona, La Paz",4483,2543.0,1769.0
"Arizona, Maricopa",901699,479967.0,386683.0
"Arizona, Mohave",44141,24386.0,17470.0
"Arizona, Navajo",25147,12386.0,11794.0
"Arizona, Pima",287640,124579.0,147688.0
"Arizona, Pinal",41290,20122.0,19650.0
"Arizona, Santa Cruz",8893,3344.0,5233.0
"Arizona, Yavapai",68228,40144.0,24063.0
"Arizona, Yuma",28652,15708.0,12055.0
"Arkansas, Arkansas",6372,3353.0,2877.0
"Arkansas, Ashley",8271,3876.0,4253.0
"Arkansas, Baxter",16708,9538.0,6516.0
"Arkansas, Benton",53646,34838.0,17277.0
"Arkansas, Boone",13635,8569.0,4493.0
"Arkansas, Bradley",3979,1793.0,2122.0
"Arkansas, Calhoun",2185,1128.0,1017.0
"Arkansas, Carroll",9590,5556.0,3595.0
"Arkansas, Chicot",4452,1564.0,2820.0
"Arkansas, Clark",8626,3776.0,4661.0
"Arkansas, Clay",5900,2254.0,3527.0
"Arkansas, Cleburne",10207,5730.0,4120.0
"Arkansas, Cleveland",3181,1678.0,1414.0
"Arkansas, Columbia",9307,5018.0,4003.0
"Arkansas, Conway",7234,3545.0,3496.0
"Arkansas, Craighead",25157,12158.0,12376.0
"Arkansas, Crawford",17625,10804.0,6288.0
"Arkansas, Crittenden",13234,5857.0,7224.0
"Arkansas, Cross",6215,3033.0,3096.0
"Arkansas, Dallas",3325,1571.0,1710.0
"Arkansas, Desha",4495,1603.0,2776.0
"Arkansas, Drew",5922,2756.0,3060.0
"Arkansas, Faulkner",29216,16055.0,11950.0
"Arkansas, Franklin",6140,3277.0,2674.0
"Arkansas, Fulton",4108,2036.0,1976.0
"Arkansas, Garland",35935,19098.0,15840.0
"Arkansas, Grant",6013,3285.0,2535.0
"Arkansas, Greene",12484,5831.0,6319.0
"Arkansas, Hempstead",7289,3257.0,3937.0
"Arkansas, Hot Spring",10981,5042.0,5527.0
"Arkansas, Howard",4459,2326.0,2063.0
"Arkansas, Independence",11594,6145.0,5146.0
"Arkansas, Izard",5032,2301.0,2587.0
"Arkansas, Jackson",6072,2280.0,3651.0
"Arkansas, Jefferson",27201,8765.0,17716.0
"Arkansas, Johnson",7161,3657.0,3270.0
"Arkansas, Lafayette",3383,1538.0,1806.0
"Arkansas, Lawrence",6040,2626.0,3255.0
"Arkansas, Lee",4121,1351.0,2727.0
"Arkansas, Lincoln",3546,1526.0,1957.0
"Arkansas, Little River",5263,2283.0,2883.0
"Arkansas, Logan",8096,4487.0,3283.0
"Arkansas, Lonoke",17943,10606.0,6851.0
"Arkansas, Madison",5628,3387.0,2055.0
"Arkansas, Marion",6015,3402.0,2233.0
"Arkansas, Miller",13745,7276.0,6278.0
"Arkansas, Mississippi",12586,5199.0,7107.0
"Arkansas, Monroe",3293,1329.0,1910.0
"Arkansas, Montgomery",3739,2128.0,1438.0
"Arkansas, Nevada",3738,1796.0,1867.0
"Arkansas, Newton",3927,2529.0,1205.0
"Arkansas, Ouachita",10395,4739.0,5464.0
"Arkansas, Perry",4007,2114.0,1648.0
"Arkansas, Phillips",9313,3154.0,6018.0
"Arkansas, Pike",3971,2275.0,1604.0
"Arkansas, Poinsett",7235,2988.0,4102.0
"Arkansas, Polk",7193,4600.0,2315.0
"Arkansas, Pope",18422,11244.0,6669.0
"Arkansas, Prairie",3507,1862.0,1563.0
"Arkansas, Pulaski",127151,55866.0,68320.0
"Arkansas, Randolph",5877,2673.0,3019.0
"Arkansas, St. Francis",8496,3414.0,4986.0
"Arkansas, Saline",32391,18617.0,12700.0
"Arkansas, Scott",3981,2399.0,1444.0
"Arkansas, Searcy",4058,2610.0,1229.0
"Arkansas, Sebastian",40159,23483.0,15555.0
"Arkansas, Sevier",4293,2111.0,2095.0
"Arkansas, Sharp",7126,3698.0,3236.0
"Arkansas, Stone",4860,2623.0,2043.0
"Arkansas, Union",15609,8647.0,6261.0
"Arkansas, Van Buren",6984,3485.0,3202.0
"Arkansas, Washington",51459,28231.0,21425.0
"Arkansas, White",22150,13170.0,8342.0
"Arkansas, Woodruff",2651,898.0,1699.0
"Arkansas, Yell",6479,3223.0,3062.0
"California, Alameda",494336,119279.0,342889.0
