Location,Total_Votes_2016,2016_republican_votes,2016_democrat_votes,State_Code
"Alabama, Autauga",24973,18172.0,5936.0,AL
"Alabama, Baldwin",95215,72883.0,18458.0,AL
"Alabama, Barbour",10469,5454.0,4871.0,AL
"Alabama, Bibb",8819,6738.0,1874.0,AL
"Alabama, Blount",25588,22859.0,2156.0,AL
"Alabama, Bullock",4710,1140.0,3530.0,AL
"Alabama, Butler",8732,4901.0,3726.0,AL
"Alabama, Calhoun",47864,32865.0,13242.0,AL
"Alabama, Chambers",13900,7843.0,5784.0,AL
"Alabama, Cherokee",10733,8953.0,1547.0,AL
"Alabama, Chilton",18369,15081.0,2911.0,AL
"Alabama, Choctaw",7292,4106.0,3109.0,AL
"Alabama, Clarke",13031,7140.0,5749.0,AL
"Alabama, Clay",6624,5245.0,1237.0,AL
"Alabama, Cleburne",6593,5764.0,684.0,AL
"Alabama, Coffee",20767,15875.0,4221.0,AL
"Alabama, Colbert",24915,16746.0,7312.0,AL
"Alabama, Conecuh",6585,3420.0,3080.0,AL
"Alabama, Coosa",5252,3381.0,1782.0,AL
"Alabama, Covington",15940,13267.0,2387.0,AL
"Alabama, Crenshaw",6267,4513.0,1664.0,AL
"Alabama, Cullman",37873,32989.0,3798.0,AL
"Alabama, Dale",18749,13808.0,4413.0,AL
"Alabama, Dallas",18792,5789.0,12836.0,AL
"Alabama, DeKalb",25826,21405.0,3622.0,AL
"Alabama, Elmore",37260,27634.0,8443.0,AL
"Alabama, Escambia",14845,9935.0,4605.0,AL
"Alabama, Etowah",44164,32353.0,10442.0,AL
"Alabama, Fayette",8249,6712.0,1362.0,AL
"Alabama, Franklin",12040,9466.0,2197.0,AL
"Alabama, Geneva",11758,9994.0,1525.0,AL
"Alabama, Greene",4880,838.0,4013.0,AL
"Alabama, Hale",8040,3173.0,4775.0,AL
"Alabama, Henry",8072,5632.0,2292.0,AL
"Alabama, Houston",42639,30728.0,10664.0,AL
"Alabama, Jackson",20984,16672.0,3673.0,AL
"Alabama, Jefferson",304191,134768.0,156873.0,AL
"Alabama, Lamar",6966,5823.0,1036.0,AL
"Alabama, Lauderdale",39525,27899.0,9952.0,AL
"Alabama, Lawrence",14829,10833.0,3627.0,AL
"Alabama, Lee",59191,34617.0,21230.0,AL
"Alabama, Limestone",40294,29067.0,9468.0,AL
"Alabama, Lowndes",6684,1751.0,4883.0,AL
"Alabama, Macon",9140,1431.0,7566.0,AL
"Alabama, Madison",163389,89520.0,62822.0,AL
"Alabama, Marengo",10994,5233.0,5615.0,AL
"Alabama, Marion",12984,11274.0,1432.0,AL
"Alabama, Marshall",35316,29233.0,4917.0,AL
"Alabama, Mobile",172737,95116.0,72186.0,AL
"Alabama, Monroe",10271,5795.0,4332.0,AL
"Alabama, Montgomery",95878,34003.0,58916.0,AL
"Alabama, Morgan",50644,37486.0,11254.0,AL
"Alabama, Perry",5278,1407.0,3824.0,AL
"Alabama, Pickens",9542,5456.0,3972.0,AL
"Alabama, Pike",13168,7693.0,5056.0,AL
"Alabama, Randolph",10187,7705.0,2291.0,AL
"Alabama, Russell",19256,9210.0,9579.0,AL
"Alabama, Shelby",101254,73020.0,22977.0,AL
"Alabama, St. Clair",38400,31651.0,5589.0,AL
"Alabama, Sumter",6411,1581.0,4746.0,AL
"Alabama, Talladega",33407,20614.0,12121.0,AL
"Alabama, Tallapoosa",19486,13594.0,5519.0,AL
"Alabama, Tuscaloosa",82700,47723.0,31762.0,AL
"Alabama, Walker",29472,24266.0,4497.0,AL
"Alabama, Washington",8533,6042.0,2374.0,AL
"Alabama, Wilcox",6118,1737.0,4339.0,AL
"Alabama, Winston",10313,9228.0,872.0,AL
"Arizona, Apache",27661,8240.0,17083.0,AZ
"Arizona, Cochise",50015,28092.0,17450.0,AZ
"Arizona, Coconino",59784,21108.0,32404.0,AZ
"Arizona, Gila",36697,14182.0,7003.0,AZ
"Arizona, Graham",20306,8025.0,3301.0,AZ
"Arizona, Greenlee",5192,1892.0,1092.0,AZ
"Arizona, La Paz",5951,4003.0,1575.0,AZ
"Arizona, Maricopa",1567834,747361.0,702907.0,AZ
"Arizona, Mohave",79943,58282.0,17455.0,AZ
"Arizona, Navajo",40294,20577.0,16459.0,AZ
"Arizona, Pima",421640,167428.0,224661.0,AZ
"Arizona, Pinal",129546,72819.0,47892.0,AZ
"Arizona, Santa Cruz",16433,3897.0,11690.0,AZ
"Arizona, Yavapai",114450,71330.0,35590.0,AZ
"Arizona, Yuma",53010,25165.0,24605.0,AZ
"Arkansas, Arkansas",6212,3826.0,1939.0,AR
"Arkansas, Ashley",8083,5338.0,2408.0,AR
"Arkansas, Baxter",19766,14682.0,4169.0,AR
"Arkansas, Benton",96824,60871.0,28005.0,AR
"Arkansas, Boone",16111,12235.0,2926.0,AR
"Arkansas, Bradley",3653,2164.0,1317.0,AR
"Arkansas, Calhoun",2269,1556.0,639.0,AR
"Arkansas, Carroll",10758,6786.0,3342.0,AR
"Arkansas, Chicot",4176,1716.0,2350.0,AR
"Arkansas, Clark",8526,4404.0,3620.0,AR
"Arkansas, Clay",5200,3781.0,1199.0,AR
"Arkansas, Cleburne",12085,9458.0,2101.0,AR
"Arkansas, Cleveland",3354,2462.0,723.0,AR
"Arkansas, Columbia",8887,5456.0,3140.0,AR
"Arkansas, Conway",7927,4849.0,2656.0,AR
"Arkansas, Craighead",35573,22892.0,10538.0,AR
"Arkansas, Crawford",22450,16686.0,4488.0,AR
"Arkansas, Crittenden",15952,6964.0,8410.0,AR
"Arkansas, Cross",6874,4584.0,1999.0,AR
"Arkansas, Dallas",2771,1509.0,1165.0,AR
"Arkansas, Desha",4257,1919.0,2228.0,AR
"Arkansas, Drew",6595,3968.0,2365.0,AR
"Arkansas, Faulkner",47527,29346.0,14629.0,AR
"Arkansas, Franklin",6770,5039.0,1376.0,AR
"Arkansas, Fulton",4772,3471.0,1067.0,AR
"Arkansas, Garland",40805,26087.0,12311.0,AR
"Arkansas, Grant",7445,5725.0,1373.0,AR
"Arkansas, Greene",14600,10720.0,3071.0,AR
"Arkansas, Hempstead",7049,4401.0,2377.0,AR
"Arkansas, Hot Spring",11944,8172.0,3149.0,AR
"Arkansas, Howard",4674,3157.0,1351.0,AR
"Arkansas, Independence",13614,9936.0,2881.0,AR
"Arkansas, Izard",5448,4042.0,1113.0,AR
"Arkansas, Jackson",5156,3267.0,1583.0,AR
"Arkansas, Jefferson",25894,9250.0,15772.0,AR
"Arkansas, Johnson",9112,6091.0,2427.0,AR
"Arkansas, Lafayette",2860,1758.0,1032.0,AR
"Arkansas, Lawrence",5685,4064.0,1263.0,AR
"Arkansas, Lee",3026,1229.0,1735.0,AR
"Arkansas, Lincoln",3826,2455.0,1252.0,AR
"Arkansas, Little River",5227,3605.0,1397.0,AR
"Arkansas, Logan",7921,5746.0,1715.0,AR
"Arkansas, Lonoke",27100,19958.0,5664.0,AR
"Arkansas, Madison",6841,4928.0,1588.0,AR
"Arkansas, Marion",7107,5336.0,1434.0,AR
"Arkansas, Miller",16091,11294.0,4273.0,AR
"Arkansas, Mississippi",13204,7061.0,5670.0,AR
"Arkansas, Monroe",2884,1489.0,1312.0,AR
"Arkansas, Montgomery",3559,2643.0,748.0,AR
"Arkansas, Nevada",3246,2000.0,1157.0,AR
"Arkansas, Newton",3753,2875.0,699.0,AR
"Arkansas, Ouachita",9935,5351.0,4321.0,AR
"Arkansas, Perry",4306,3008.0,1049.0,AR
"Arkansas, Phillips",6953,2446.0,4310.0,AR
