vintage,title,distributiondescription
1999,1999 Nonemployer Statistics: Non Employer Statistics,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1999/nonemp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1997,1997 Nonemployer Statistics: Non Employer Statistics,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1997/nonemp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1986,1986 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1986/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1997,1997 County Business Patterns - Zip Code Business Patterns: Total For Zip Code,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1997/zbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1987,1987 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1987/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1999,1999 County Business Patterns - Zip Code Business Patterns: Total For Zip Code,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1999/zbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1988,1988 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1988/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2000,2000 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2000/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1989,1989 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1989/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1990,1990 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1990/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2000,2000 Nonemployer Statistics: Non Employer Statistics,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2000/nonemp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1995,1995 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1995/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1990,"1990 Population Estimates - 1990-2000 Intercensal Estimates: County Estimates by 5 Year Age Groups, Race by Sex, and Hispanic Origin","[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1990/pep/int_charagegroups', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1990,1990 Population Estimates - 1990-2000 Intercensal Estimates: United States Civilian Population Estimates by Age and Sex,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1990/pep/int_natcivpop', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1996,1996 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1996/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1990,1990 Population Estimates - 1990-2000 Intercensal Estimates: United States Resident plus Armed Forces Overseas Population Estimates by Age and Sex,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1990/pep/int_natresafo', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1995,1995 County Business Patterns - Zip Code Business Patterns: Total For Zip Code,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1995/zbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1990,1990 Population Estimates - 1990-2000 Intercensal Estimates: United States Resident Population Estimates by Age and Sex,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1990/pep/int_natrespop', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2000,2000 Decennial: Summary File 1,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2000/sf1', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
