County,State,2010,2011,2012,2013,2014,2015,2016
Autauga,Alabama,"54,773","55,227","54,954","54,727","54,893","54,864","55,243"
Baldwin,Alabama,"183,112","186,558","190,145","194,885","199,183","202,939","207,601"
Barbour,Alabama,"27,327","27,341","27,169","26,937","26,755","26,283","25,806"
Bibb,Alabama,"22,870","22,745","22,667","22,521","22,553","22,566","22,586"
Blount,Alabama,"57,376","57,560","57,580","57,619","57,526","57,526","57,494"
Bullock,Alabama,"10,876","10,675","10,606","10,549","10,663","10,400","10,389"
Butler,Alabama,"20,932","20,866","20,670","20,356","20,327","20,162","20,012"
Calhoun,Alabama,"118,408","117,744","117,190","116,471","115,917","115,469","114,973"
Chambers,Alabama,"34,122","34,033","34,104","34,139","33,977","33,996","33,745"
Cherokee,Alabama,"25,963","25,989","25,958","26,017","25,895","25,732","25,768"
Chilton,Alabama,"43,653","43,689","43,582","43,628","43,760","43,700","43,866"
Choctaw,Alabama,"13,849","13,609","13,563","13,397","13,317","13,231","13,045"
Clarke,Alabama,"25,766","25,587","25,155","25,123","24,864","24,698","24,340"
Clay,Alabama,"13,898","13,687","13,434","13,404","13,441","13,415","13,393"
Cleburne,Alabama,"15,004","14,928","14,889","14,976","15,026","14,914","14,848"
Coffee,Alabama,"50,208","50,444","51,141","50,681","50,657","50,963","51,202"
Colbert,Alabama,"54,524","54,539","54,570","54,529","54,462","54,417","54,497"
Conecuh,Alabama,"13,236","13,195","13,046","12,912","12,677","12,678","12,500"
Coosa,Alabama,"11,780","11,486","11,346","11,254","11,037","10,934","10,819"
Covington,Alabama,"37,809","38,020","37,805","37,814","37,760","37,556","37,382"
Crenshaw,Alabama,"13,869","13,894","13,915","13,847","13,851","13,850","13,916"
Cullman,Alabama,"80,456","80,410","80,279","80,690","81,068","81,761","82,450"
Dale,Alabama,"50,394","50,122","50,289","49,771","49,414","49,365","49,362"
Dallas,Alabama,"43,854","43,251","42,789","41,976","41,554","40,936","40,080"
DeKalb,Alabama,"71,163","71,365","70,944","70,912","70,993","71,087","71,104"
Elmore,Alabama,"79,552","79,993","80,193","80,536","80,538","80,872","81,204"
Escambia,Alabama,"38,345","38,204","38,023","37,765","37,735","37,661","37,475"
Etowah,Alabama,"104,459","104,369","104,278","103,884","103,399","102,998","102,855"
Fayette,Alabama,"17,229","17,052","16,945","16,824","16,772","16,696","16,563"
Franklin,Alabama,"31,746","31,776","31,690","31,553","31,559","31,515","31,611"
Geneva,Alabama,"26,777","26,756","26,924","26,677","26,593","26,631","26,494"
Greene,Alabama,"8,991","8,903","8,848","8,748","8,584","8,508","8,482"
Hale,Alabama,"15,745","15,361","15,364","15,246","15,046","15,015","14,828"
Henry,Alabama,"17,296","17,377","17,153","17,129","17,079","17,101","17,072"
Houston,Alabama,"101,798","102,488","103,371","103,643","104,158","104,260","104,218"
Jackson,Alabama,"53,184","53,214","53,079","52,957","52,562","52,195","51,988"
Jefferson,Alabama,"658,215","658,109","658,061","659,265","659,972","660,455","660,343"
Lamar,Alabama,"14,496","14,291","14,248","14,212","14,067","13,927","13,928"
Lauderdale,Alabama,"92,737","92,607","92,662","92,701","93,000","92,459","92,425"
Lawrence,Alabama,"34,342","34,051","33,806","33,575","33,444","33,135","33,227"
Lee,Alabama,"140,794","144,130","148,567","151,809","154,511","156,954","159,168"
Limestone,Alabama,"83,181","85,557","87,326","88,916","90,599","91,565","92,847"
Lowndes,Alabama,"11,289","11,140","10,851","10,661","10,494","10,350","10,248"
Macon,Alabama,"21,505","21,284","20,608","20,021","19,641","19,296","19,060"
Madison,Alabama,"336,095","339,565","342,730","346,625","349,796","352,977","356,729"
Marengo,Alabama,"20,956","20,661","20,375","20,119","19,986","19,766","19,525"
Marion,Alabama,"30,816","30,652","30,484","30,224","30,199","30,119","29,960"
Marshall,Alabama,"93,122","93,895","94,260","94,356","94,257","94,585","95,113"
Mobile,Alabama,"413,315","413,068","413,816","413,918","414,149","414,462","414,945"
Monroe,Alabama,"23,005","22,796","22,581","22,170","21,926","21,717","21,548"
Montgomery,Alabama,"229,505","229,189","228,874","228,190","227,551","227,279","227,170"
Morgan,Alabama,"119,608","120,024","120,102","119,571","119,444","119,257","119,006"
Perry,Alabama,"10,563","10,450","10,163","9,999","9,801","9,640","9,532"
Pickens,Alabama,"19,749","19,354","19,309","19,300","20,272","20,776","20,325"
Pike,Alabama,"32,970","33,025","33,215","33,715","33,199","33,496","33,464"
Randolph,Alabama,"22,937","22,745","22,533","22,547","22,353","22,594","22,504"
Russell,Alabama,"53,321","54,852","57,500","59,149","59,224","58,844","58,185"
St,Clair County,"83,571","83,975","84,761","85,810","85,996","86,546","87,306"
Shelby,Alabama,"196,032","197,952","200,912","204,039","206,280","208,959","211,282"
Sumter,Alabama,"13,730","13,490","13,440","13,394","13,270","13,206","12,967"
Talladega,Alabama,"82,172","81,863","82,146","81,578","81,512","81,128","80,552"
Tallapoosa,Alabama,"41,476","41,402","41,048","41,028","40,884","40,605","40,586"
Tuscaloosa,Alabama,"194,996","196,745","198,807","201,084","203,086","204,767","206,464"
Walker,Alabama,"66,997","66,585","66,104","65,777","65,338","64,931","64,533"
Washington,Alabama,"17,626","17,355","17,146","16,897","16,868","16,832","16,621"
Wilcox,Alabama,"11,560","11,438","11,302","11,145","10,946","10,896","10,844"
Winston,Alabama,"24,412","24,362","24,193","24,189","24,139","23,930","23,907"
Aleutians East Borough,Alaska,"3,166","3,259","3,294","3,343","3,346","3,373","3,363"
Aleutians West Census Area,Alaska,"5,559","5,582","5,676","5,777","5,822","5,781","5,705"
Anchorage Municipality,Alaska,"293,321","296,197","298,255","301,142","299,893","297,547","297,249"
Bethel Census Area,Alaska,"17,084","17,419","17,656","17,852","17,936","17,955","18,022"
Bristol Bay Borough,Alaska,"1,002","1,030",979,951,947,904,902
Denali Borough,Alaska,"1,835","1,872","1,908","1,943","1,916","1,933","2,055"
Dillingham Census Area,Alaska,"4,850","4,947","4,949","4,978","4,983","4,988","4,970"
Fairbanks North Star Borough,Alaska,"98,264","98,120","100,311","100,933","99,254","99,636","100,633"
Haines Borough,Alaska,"2,501","2,574","2,577","2,558","2,555","2,516","2,531"
Hoonah-Angoon Census Area,Alaska,"2,107","2,085","2,114","2,116","2,098","2,132","2,121"
Juneau City and Borough,Alaska,"31,387","32,161","32,384","32,594","32,481","32,615","32,412"
Kenai Peninsula Borough,Alaska,"55,554","56,299","56,900","57,014","57,558","58,034","58,458"
Ketchikan Gateway Borough,Alaska,"13,573","13,674","13,729","13,722","13,802","13,702","13,707"
Kodiak Island Borough,Alaska,"13,646","13,806","14,037","14,093","13,907","13,767","13,728"
Kusilvak Census Area,Alaska,"7,467","7,651","7,794","7,974","8,100","8,194","8,181"
Lake and Peninsula Borough,Alaska,"1,639","1,649","1,649","1,667","1,647","1,595","1,600"
Matanuska-Susitna Borough,Alaska,"89,732","91,725","93,677","95,880","98,103","101,062","104,119"
Nome Census Area,Alaska,"9,543","9,776","9,824","9,852","9,810","9,893","9,966"
North Slope Borough,Alaska,"9,478","9,554","9,698","9,792","9,776","9,788","9,694"
Northwest Arctic Borough,Alaska,"7,560","7,705","7,705","7,725","7,772","7,772","7,691"
Petersburg Borough,Alaska,"3,219","3,255","3,277","3,291","3,261","3,253","3,260"
Prince of Wales-Hyder Census Area,Alaska,"6,211","6,373","6,423","6,446","6,463","6,508","6,519"
Sitka City and Borough,Alaska,"8,881","8,884","9,017","8,973","8,838","8,778","8,736"
Skagway Municipality,Alaska,968,962,998,"1,026","1,054","1,088","1,132"
Southeast Fairbanks Census Area,Alaska,"7,061","7,150","7,172","6,986","6,925","6,812","6,857"
Valdez-Cordova Census Area,Alaska,"9,657","9,740","9,734","9,781","9,478","9,319","9,314"
Wrangell City and Borough,Alaska,"2,371","2,394","2,420","2,448","2,441","2,453","2,496"
Yakutat City and Borough,Alaska,662,656,664,651,655,635,612
Yukon-Koyukuk Census Area,Alaska,"5,612","5,629","5,622","5,560","5,462","5,465","5,423"
Apache,Arizona,"71,829","72,182","72,229","72,322","71,796","71,012","71,381"
Cochise,Arizona,"131,822","133,097","132,017","129,578","127,314","126,454","125,686"
Coconino,Arizona,"134,612","134,275","136,146","136,699","137,566","138,962","140,407"
Gila,Arizona,"53,561","53,440","52,994","53,005","53,044","52,978","53,356"
Graham,Arizona,"37,152","37,126","37,015","37,433","38,099","37,860","37,807"
Greenlee,Arizona,"8,339","8,585","8,764","8,916","9,349","9,577","9,643"
La Paz,Arizona,"20,497","20,604","20,521","20,522","20,516","20,466","20,648"
Maricopa,Arizona,"3,825,110","3,874,996","3,947,505","4,017,723","4,093,648","4,172,905","4,256,143"
Mohave,Arizona,"200,314","202,812","203,347","203,126","203,423","204,574","205,412"
Navajo,Arizona,"107,697","107,552","107,313","107,135","107,701","107,638","108,467"
Pima,Arizona,"981,620","988,381","993,052","997,127","1,004,229","1,009,103","1,016,707"
Pinal,Arizona,"379,094","378,041","382,251","385,398","395,322","405,614","417,193"
Santa Cruz,Arizona,"47,415","47,667","47,359","46,939","46,636","46,542","46,400"
Yavapai,Arizona,"210,983","211,044","211,990","214,421","217,716","220,805","224,575"
Yuma,Arizona,"197,127","202,841","202,475","202,420","204,054","205,186","207,247"
Arkansas,Arkansas,"19,009","18,871","18,964","18,755","18,479","18,330","18,154"
Ashley,Arkansas,"21,829","21,673","21,515","21,278","20,956","20,838","20,530"
Baxter,Arkansas,"41,510","41,349","41,080","40,983","40,888","41,138","41,131"
Benton,Arkansas,"222,593","229,171","234,938","239,461","244,841","251,591","259,212"
Boone,Arkansas,"36,893","37,086","37,333","37,328","37,116","37,119","37,259"
Bradley,Arkansas,"11,470","11,432","11,266","11,120","11,007","10,999","10,959"
Calhoun,Arkansas,"5,362","5,243","5,278","5,192","5,167","5,200","5,143"
Carroll,Arkansas,"27,553","27,466","27,623","27,791","27,734","27,755","27,728"
Chicot,Arkansas,"11,799","11,703","11,498","11,362","11,211","10,970","10,899"
Clark,Arkansas,"22,925","22,928","22,755","22,582","22,557","22,513","22,602"
Clay,Arkansas,"16,050","15,876","15,710","15,484","15,299","15,206","15,060"
Cleburne,Arkansas,"25,986","25,875","25,763","25,625","25,591","25,355","25,173"
Cleveland,Arkansas,"8,677","8,674","8,609","8,515","8,399","8,284","8,245"
Columbia,Arkansas,"24,723","24,709","24,413","24,284","24,049","24,115","24,026"
Conway,Arkansas,"21,219","21,128","21,141","21,088","20,995","20,936","20,874"
Craighead,Arkansas,"96,748","98,405","99,993","101,653","102,661","104,457","105,932"
Crawford,Arkansas,"61,956","61,796","61,911","61,667","61,807","61,904","62,263"
Crittenden,Arkansas,"50,958","50,517","50,077","49,739","49,536","49,019","49,306"
Cross,Arkansas,"17,862","17,809","17,703","17,521","17,181","17,255","17,025"
Dallas,Arkansas,"8,066","8,056","7,952","7,892","7,691","7,530","7,399"
Desha,Arkansas,"12,954","12,731","12,590","12,502","12,270","12,029","11,905"
Drew,Arkansas,"18,666","18,735","18,788","18,686","18,642","18,613","18,553"
Faulkner,Arkansas,"114,026","116,280","118,523","119,176","120,562","121,241","122,206"
Franklin,Arkansas,"18,142","18,009","17,959","17,915","17,828","17,749","17,655"
Fulton,Arkansas,"12,215","12,240","12,169","12,170","12,081","12,138","12,099"
Garland,Arkansas,"96,067","96,854","96,986","97,654","97,758","97,814","98,282"
Grant,Arkansas,"17,886","17,947","18,038","18,046","18,074","18,016","18,064"
Greene,Arkansas,"42,201","42,763","43,229","43,160","43,788","44,300","44,730"
Hempstead,Arkansas,"22,596","22,488","22,344","22,420","22,326","22,085","22,032"
Hot Spring,Arkansas,"33,231","33,142","33,507","33,528","33,409","33,497","33,438"
Howard,Arkansas,"13,796","13,816","13,675","13,543","13,492","13,336","13,350"
Independence,Arkansas,"36,809","36,884","36,953","36,885","37,080","37,035","37,117"
Izard,Arkansas,"13,726","13,572","13,541","13,411","13,557","13,487","13,488"
Jackson,Arkansas,"18,057","17,887","17,680","17,729","17,591","17,365","17,282"
Jefferson,Arkansas,"77,341","76,039","74,634","73,191","72,458","71,872","70,407"
Johnson,Arkansas,"25,556","25,675","25,914","25,932","25,969","26,094","26,127"
Lafayette,Arkansas,"7,647","7,536","7,450","7,284","7,158","7,010","6,888"
Lawrence,Arkansas,"17,518","17,282","17,040","17,054","16,969","16,696","16,639"
Lee,Arkansas,"10,395","10,291","10,184","10,010","9,839","9,672","9,337"
Lincoln,Arkansas,"14,089","14,339","14,180","14,063","14,025","13,866","13,728"
Little River,Arkansas,"13,132","12,945","12,916","12,733","12,503","12,402","12,406"
Logan,Arkansas,"22,308","22,242","21,928","22,031","21,866","21,729","21,732"
Lonoke,Arkansas,"68,744","69,529","70,109","70,742","71,368","71,359","71,803"
Madison,Arkansas,"15,684","15,662","15,597","15,679","15,731","15,705","16,112"
Marion,Arkansas,"16,665","16,671","16,621","16,444","16,423","16,215","16,376"
Miller,Arkansas,"43,562","43,762","43,663","43,402","43,458","43,792","43,713"
Mississippi,Arkansas,"46,399","46,031","45,553","44,695","44,247","43,729","42,900"
Monroe,Arkansas,"8,138","8,099","7,854","7,690","7,634","7,452","7,205"
Montgomery,Arkansas,"9,510","9,402","9,340","9,252","9,162","9,027","8,936"
Nevada,Arkansas,"8,997","9,008","8,909","8,772","8,645","8,508","8,378"
Newton,Arkansas,"8,304","8,251","8,052","8,042","7,867","7,846","7,848"
Ouachita,Arkansas,"26,046","25,737","25,398","24,948","24,761","24,316","24,013"
Perry,Arkansas,"10,444","10,383","10,328","10,335","10,360","10,307","10,286"
Phillips,Arkansas,"21,676","21,406","20,736","20,437","19,952","19,546","19,050"
Pike,Arkansas,"11,264","11,241","11,254","11,121","10,989","10,837","10,826"
Poinsett,Arkansas,"24,515","24,449","24,299","24,187","24,152","24,002","23,974"
Polk,Arkansas,"20,667","20,558","20,420","20,342","20,249","20,194","20,145"
Pope,Arkansas,"62,109","62,687","62,631","62,588","63,117","63,608","63,897"
Prairie,Arkansas,"8,722","8,599","8,482","8,375","8,347","8,299","8,252"
Pulaski,Arkansas,"383,538","386,990","389,225","391,512","392,952","393,576","394,151"
Randolph,Arkansas,"17,955","17,973","17,840","17,625","17,569","17,437","17,444"
St,Francis County,"28,194","27,994","27,992","27,508","27,088","26,651","26,347"
Saline,Arkansas,"107,656","109,553","111,442","113,348","114,874","116,390","117,656"
Scott,Arkansas,"11,275","11,264","11,033","10,934","10,686","10,561","10,332"
Searcy,Arkansas,"8,182","8,078","8,005","7,991","7,924","7,835","7,968"
Sebastian,Arkansas,"125,737","127,010","127,571","127,173","126,733","127,385","127,385"
Sevier,Arkansas,"17,151","17,218","17,188","17,356","17,410","17,262","16,971"
Sharp,Arkansas,"17,250","17,270","17,034","17,043","16,820","16,808","17,007"
Stone,Arkansas,"12,389","12,500","12,542","12,423","12,381","12,386","12,509"
Union,Arkansas,"41,573","41,402","40,861","40,604","40,136","40,086","39,879"
Van Buren,Arkansas,"17,310","17,214","17,162","16,985","16,907","16,808","16,669"
Washington,Arkansas,"204,024","208,051","211,756","216,000","219,941","224,434","228,482"
White,Arkansas,"77,356","78,083","78,641","78,567","78,471","78,915","78,917"
Woodruff,Arkansas,"7,236","7,164","7,052","7,018","6,860","6,706","6,600"
Yell,Arkansas,"22,146","21,964","21,824","21,819","21,768","21,506","21,502"
Alameda,California,"1,512,986","1,530,915","1,553,764","1,579,593","1,607,792","1,634,538","1,650,950"
Alpine,California,"1,161","1,093","1,110","1,128","1,080","1,077","1,047"
Amador,California,"37,886","37,543","37,104","36,620","36,726","37,031","37,429"
Butte,California,"219,949","219,975","220,869","221,641","223,516","224,631","226,231"
Calaveras,California,"45,468","45,160","44,815","44,655","44,671","44,965","45,322"
Colusa,California,"21,437","21,323","21,284","21,250","21,176","21,231","21,496"
Contra Costa,California,"1,052,540","1,065,440","1,077,548","1,093,401","1,108,876","1,124,405","1,137,268"
Del Norte,California,"28,566","28,443","28,190","27,816","27,175","27,190","27,382"
El Dorado,California,"181,136","180,936","180,575","181,481","183,108","184,569","185,976"
Fresno,California,"932,039","939,406","945,045","951,514","960,567","969,488","976,830"
Glenn,California,"28,127","28,139","27,851","27,809","27,831","27,753","27,840"
Humboldt,California,"135,009","135,243","134,572","134,403","134,494","135,102","136,290"
Imperial,California,"174,716","175,786","176,575","176,438","177,974","178,937","180,179"
Inyo,California,"18,511","18,392","18,351","18,357","18,292","18,108","17,922"
Kern,California,"840,996","847,970","853,606","862,000","869,176","876,031","880,856"
Kings,California,"152,370","151,868","150,991","150,337","149,495","150,085","149,382"
Lake,California,"64,735","64,251","63,954","63,796","64,044","64,260","63,903"
Lassen,California,"34,831","34,246","33,629","32,129","31,664","31,256","30,721"
Los Angeles,California,"9,823,246","9,876,482","9,935,375","9,992,484","10,040,072","10,085,416","10,105,708"
Madera,California,"150,986","151,675","151,527","151,370","153,456","153,576","153,956"
Marin,California,"252,904","255,376","256,061","258,409","260,359","260,916","260,562"
Mariposa,California,"18,277","18,170","17,881","17,809","17,714","17,622","17,456"
Mendocino,California,"87,799","87,334","87,288","87,054","87,225","87,107","87,285"
Merced,California,"256,721","259,297","260,867","262,026","264,419","266,353","267,628"
Modoc,California,"9,694","9,509","9,351","9,145","9,068","9,056","8,961"
Mono,California,"14,257","14,422","14,331","14,067","14,134","14,077","14,273"
Monterey,California,"416,373","420,456","424,788","426,712","428,475","430,552","433,953"
Napa,California,"136,759","137,691","138,538","139,580","140,405","140,862","140,840"
Nevada,California,"98,790","98,701","98,137","97,938","98,572","98,676","98,913"
Orange,California,"3,015,171","3,049,271","3,078,068","3,104,950","3,126,537","3,149,280","3,164,986"
Placer,California,"350,021","356,328","360,263","365,398","369,217","372,841","378,943"
Plumas,California,"19,914","19,719","19,377","18,895","18,622","18,427","18,665"
Riverside,California,"2,201,576","2,234,070","2,261,204","2,286,755","2,316,162","2,345,816","2,380,081"
Sacramento,California,"1,421,383","1,433,730","1,444,852","1,457,341","1,474,917","1,493,674","1,510,987"
San Benito,California,"55,516","55,977","56,599","57,239","57,825","58,216","59,225"
San Bernardino,California,"2,040,848","2,060,827","2,073,512","2,082,738","2,099,181","2,115,411","2,131,960"
San Diego,California,"3,103,212","3,137,156","3,174,335","3,209,768","3,248,877","3,280,850","3,306,089"
San Francisco,California,"805,505","815,650","828,876","839,572","850,750","863,010","871,512"
San Joaquin,California,"687,127","694,354","699,593","702,046","711,579","722,271","732,809"
San Luis Obispo,California,"269,802","271,058","274,160","275,696","278,227","280,077","281,803"
San Mateo,California,"719,699","728,344","739,224","748,661","757,204","765,055","767,906"
Santa Barbara,California,"424,231","425,453","429,699","434,601","439,045","442,229","444,340"
Santa Clara,California,"1,786,040","1,812,054","1,837,853","1,866,425","1,891,753","1,916,285","1,928,368"
Santa Cruz,California,"263,147","264,858","266,340","268,816","270,861","273,503","274,396"
Shasta,California,"177,274","177,588","177,875","178,397","178,844","178,314","178,571"
Sierra,California,"3,220","3,098","3,067","3,028","2,972","2,985","2,951"
Siskiyou,California,"44,938","44,615","44,079","43,532","43,338","43,254","43,376"
Solano,California,"413,967","416,342","419,674","423,659","429,006","433,409","438,858"
Sonoma,California,"484,755","487,421","489,993","494,073","498,560","500,863","502,547"
Stanislaus,California,"515,145","517,560","520,424","523,451","528,015","533,211","539,255"
Sutter,California,"94,751","94,482","94,189","94,507","94,778","95,282","95,742"
Tehama,California,"63,559","63,331","63,212","62,875","62,801","63,158","63,453"
Trinity,California,"13,755","13,685","13,489","13,427","13,128","13,094","12,828"
Tulare,California,"442,969","446,784","449,779","452,460","455,138","457,161","459,235"
Tuolumne,California,"55,190","54,830","54,221","53,997","53,851","53,615","53,770"
Ventura,California,"825,097","830,099","833,516","838,136","842,297","845,802","847,323"
Yolo,California,"201,073","201,954","204,576","206,292","208,398","212,037","215,627"
Yuba,California,"72,348","72,489","72,774","73,090","73,533","74,045","74,952"
Adams,Colorado,"443,691","452,201","460,558","469,978","479,946","490,443","497,734"
Alamosa,Colorado,"15,515","15,709","15,680","15,787","15,803","15,894","16,053"
Arapahoe,Colorado,"574,747","585,968","596,500","608,467","619,034","630,984","638,950"
Archuleta,Colorado,"12,046","12,021","12,132","12,216","12,231","12,387","12,825"
Baca,Colorado,"3,807","3,778","3,722","3,656","3,587","3,555","3,530"
Bent,Colorado,"6,500","6,424","5,848","5,761","5,820","5,889","5,833"
Boulder,Colorado,"295,037","299,957","304,570","309,323","312,233","318,027","321,250"
Broomfield,Colorado,"56,226","57,493","58,971","60,149","61,764","64,866","66,513"
Chaffee,Colorado,"17,808","18,028","18,154","18,355","18,451","18,612","19,110"
Cheyenne,Colorado,"1,833","1,863","1,872","1,879","1,846","1,827","1,850"
Clear Creek,Colorado,"9,083","9,011","9,018","9,024","9,124","9,244","9,353"
Conejos,Colorado,"8,312","8,290","8,248","8,199","8,230","8,065","8,050"
Costilla,Colorado,"3,529","3,641","3,603","3,541","3,561","3,576","3,693"
Crowley,Colorado,"5,861","5,882","5,467","5,346","5,609","5,628","5,285"
Custer,Colorado,"4,279","4,225","4,219","4,261","4,340","4,434","4,588"
Delta,Colorado,"30,860","30,393","30,465","30,338","29,963","29,913","30,346"
Denver,Colorado,"603,359","620,530","635,163","649,391","664,582","683,285","696,159"
Dolores,Colorado,"2,069","2,044","2,009","2,033","1,977","1,981","2,056"
Douglas,Colorado,"286,977","292,548","298,708","306,234","314,545","322,025","328,219"
Eagle,Colorado,"52,099","52,051","52,334","52,816","53,276","53,865","54,541"
Elbert,Colorado,"23,142","23,178","23,274","23,541","24,031","24,630","25,157"
El Paso,Colorado,"627,031","637,305","646,003","655,209","663,129","674,001","688,277"
Fremont,Colorado,"46,837","47,379","47,052","46,332","46,147","46,282","46,976"
Garfield,Colorado,"56,072","56,048","56,761","56,938","57,161","57,698","58,785"
Gilpin,Colorado,"5,471","5,428","5,431","5,530","5,747","5,805","5,914"
Grand,Colorado,"14,796","14,563","14,221","14,312","14,559","14,726","15,179"
Gunnison,Colorado,"15,291","15,261","15,378","15,575","15,765","16,104","16,414"
Hinsdale,Colorado,844,825,802,804,773,764,788
Huerfano,Colorado,"6,681","6,528","6,565","6,460","6,393","6,404","6,580"
Jackson,Colorado,"1,389","1,357","1,325","1,336","1,385","1,353","1,358"
Jefferson,Colorado,"535,548","540,506","546,602","552,031","558,819","564,888","571,413"
Kiowa,Colorado,"1,404","1,431","1,409","1,392","1,380","1,384","1,342"
