year,state,state_po,county,FIPS,office,candidate,party,candidatevotes,totalvotes,version
2000,Alabama,AL,Autauga,1001.0,President,Al Gore,democrat,4942.0,17208,20191203
2000,Alabama,AL,Autauga,1001.0,President,George W. Bush,republican,11993.0,17208,20191203
2000,Alabama,AL,Autauga,1001.0,President,Ralph Nader,green,160.0,17208,20191203
2000,Alabama,AL,Autauga,1001.0,President,Other,,113.0,17208,20191203
2000,Alabama,AL,Baldwin,1003.0,President,Al Gore,democrat,13997.0,56480,20191203
2000,Alabama,AL,Baldwin,1003.0,President,George W. Bush,republican,40872.0,56480,20191203
2000,Alabama,AL,Baldwin,1003.0,President,Ralph Nader,green,1033.0,56480,20191203
2000,Alabama,AL,Baldwin,1003.0,President,Other,,578.0,56480,20191203
2000,Alabama,AL,Barbour,1005.0,President,Al Gore,democrat,5188.0,10395,20191203
2000,Alabama,AL,Barbour,1005.0,President,George W. Bush,republican,5096.0,10395,20191203
2000,Alabama,AL,Barbour,1005.0,President,Ralph Nader,green,46.0,10395,20191203
2000,Alabama,AL,Barbour,1005.0,President,Other,,65.0,10395,20191203
2000,Alabama,AL,Bibb,1007.0,President,Al Gore,democrat,2710.0,7101,20191203
2000,Alabama,AL,Bibb,1007.0,President,George W. Bush,republican,4273.0,7101,20191203
2000,Alabama,AL,Bibb,1007.0,President,Ralph Nader,green,52.0,7101,20191203
2000,Alabama,AL,Bibb,1007.0,President,Other,,66.0,7101,20191203
2000,Alabama,AL,Blount,1009.0,President,Al Gore,democrat,4977.0,17973,20191203
2000,Alabama,AL,Blount,1009.0,President,George W. Bush,republican,12667.0,17973,20191203
2000,Alabama,AL,Blount,1009.0,President,Ralph Nader,green,154.0,17973,20191203
2000,Alabama,AL,Blount,1009.0,President,Other,,175.0,17973,20191203
2000,Alabama,AL,Bullock,1011.0,President,Al Gore,democrat,3395.0,4904,20191203
2000,Alabama,AL,Bullock,1011.0,President,George W. Bush,republican,1433.0,4904,20191203
2000,Alabama,AL,Bullock,1011.0,President,Ralph Nader,green,24.0,4904,20191203
2000,Alabama,AL,Bullock,1011.0,President,Other,,52.0,4904,20191203
2000,Alabama,AL,Butler,1013.0,President,Al Gore,democrat,3606.0,7803,20191203
2000,Alabama,AL,Butler,1013.0,President,George W. Bush,republican,4127.0,7803,20191203
2000,Alabama,AL,Butler,1013.0,President,Ralph Nader,green,36.0,7803,20191203
2000,Alabama,AL,Butler,1013.0,President,Other,,34.0,7803,20191203
2000,Alabama,AL,Calhoun,1015.0,President,Al Gore,democrat,15781.0,38909,20191203
2000,Alabama,AL,Calhoun,1015.0,President,George W. Bush,republican,22306.0,38909,20191203
2000,Alabama,AL,Calhoun,1015.0,President,Ralph Nader,green,481.0,38909,20191203
2000,Alabama,AL,Calhoun,1015.0,President,Other,,341.0,38909,20191203
2000,Alabama,AL,Chambers,1017.0,President,Al Gore,democrat,5616.0,11834,20191203
2000,Alabama,AL,Chambers,1017.0,President,George W. Bush,republican,6037.0,11834,20191203
2000,Alabama,AL,Chambers,1017.0,President,Ralph Nader,green,95.0,11834,20191203
2000,Alabama,AL,Chambers,1017.0,President,Other,,86.0,11834,20191203
2000,Alabama,AL,Cherokee,1019.0,President,Al Gore,democrat,3497.0,7823,20191203
2000,Alabama,AL,Cherokee,1019.0,President,George W. Bush,republican,4154.0,7823,20191203
2000,Alabama,AL,Cherokee,1019.0,President,Ralph Nader,green,77.0,7823,20191203
2000,Alabama,AL,Cherokee,1019.0,President,Other,,95.0,7823,20191203
2000,Alabama,AL,Chilton,1021.0,President,Al Gore,democrat,4806.0,15092,20191203
2000,Alabama,AL,Chilton,1021.0,President,George W. Bush,republican,10066.0,15092,20191203
2000,Alabama,AL,Chilton,1021.0,President,Ralph Nader,green,92.0,15092,20191203
2000,Alabama,AL,Chilton,1021.0,President,Other,,128.0,15092,20191203
2000,Alabama,AL,Choctaw,1023.0,President,Al Gore,democrat,3707.0,7374,20191203
2000,Alabama,AL,Choctaw,1023.0,President,George W. Bush,republican,3600.0,7374,20191203
2000,Alabama,AL,Choctaw,1023.0,President,Ralph Nader,green,33.0,7374,20191203
2000,Alabama,AL,Choctaw,1023.0,President,Other,,34.0,7374,20191203
2000,Alabama,AL,Clarke,1025.0,President,Al Gore,democrat,4679.0,10752,20191203
2000,Alabama,AL,Clarke,1025.0,President,George W. Bush,republican,5988.0,10752,20191203
2000,Alabama,AL,Clarke,1025.0,President,Ralph Nader,green,33.0,10752,20191203
2000,Alabama,AL,Clarke,1025.0,President,Other,,52.0,10752,20191203
2000,Alabama,AL,Clay,1027.0,President,Al Gore,democrat,2045.0,5883,20191203
2000,Alabama,AL,Clay,1027.0,President,George W. Bush,republican,3719.0,5883,20191203
2000,Alabama,AL,Clay,1027.0,President,Ralph Nader,green,52.0,5883,20191203
2000,Alabama,AL,Clay,1027.0,President,Other,,67.0,5883,20191203
2000,Alabama,AL,Cleburne,1029.0,President,Al Gore,democrat,1664.0,5092,20191203
2000,Alabama,AL,Cleburne,1029.0,President,George W. Bush,republican,3333.0,5092,20191203
2000,Alabama,AL,Cleburne,1029.0,President,Ralph Nader,green,39.0,5092,20191203
2000,Alabama,AL,Cleburne,1029.0,President,Other,,56.0,5092,20191203
2000,Alabama,AL,Coffee,1031.0,President,Al Gore,democrat,5220.0,15434,20191203
2000,Alabama,AL,Coffee,1031.0,President,George W. Bush,republican,9938.0,15434,20191203
2000,Alabama,AL,Coffee,1031.0,President,Ralph Nader,green,155.0,15434,20191203
2000,Alabama,AL,Coffee,1031.0,President,Other,,121.0,15434,20191203
2000,Alabama,AL,Colbert,1033.0,President,Al Gore,democrat,10543.0,21532,20191203
2000,Alabama,AL,Colbert,1033.0,President,George W. Bush,republican,10518.0,21532,20191203
2000,Alabama,AL,Colbert,1033.0,President,Ralph Nader,green,208.0,21532,20191203
2000,Alabama,AL,Colbert,1033.0,President,Other,,263.0,21532,20191203
2000,Alabama,AL,Conecuh,1035.0,President,Al Gore,democrat,2783.0,5551,20191203
2000,Alabama,AL,Conecuh,1035.0,President,George W. Bush,republican,2699.0,5551,20191203
2000,Alabama,AL,Conecuh,1035.0,President,Ralph Nader,green,35.0,5551,20191203
2000,Alabama,AL,Conecuh,1035.0,President,Other,,34.0,5551,20191203
2000,Alabama,AL,Coosa,1037.0,President,Al Gore,democrat,2104.0,4567,20191203
2000,Alabama,AL,Coosa,1037.0,President,George W. Bush,republican,2382.0,4567,20191203
2000,Alabama,AL,Coosa,1037.0,President,Ralph Nader,green,34.0,4567,20191203
2000,Alabama,AL,Coosa,1037.0,President,Other,,47.0,4567,20191203
2000,Alabama,AL,Covington,1039.0,President,Al Gore,democrat,4440.0,13613,20191203
2000,Alabama,AL,Covington,1039.0,President,George W. Bush,republican,8961.0,13613,20191203
2000,Alabama,AL,Covington,1039.0,President,Ralph Nader,green,123.0,13613,20191203
2000,Alabama,AL,Covington,1039.0,President,Other,,89.0,13613,20191203
2000,Alabama,AL,Crenshaw,1041.0,President,Al Gore,democrat,1934.0,4795,20191203
2000,Alabama,AL,Crenshaw,1041.0,President,George W. Bush,republican,2793.0,4795,20191203
2000,Alabama,AL,Crenshaw,1041.0,President,Ralph Nader,green,40.0,4795,20191203
2000,Alabama,AL,Crenshaw,1041.0,President,Other,,28.0,4795,20191203
2000,Alabama,AL,Cullman,1043.0,President,Al Gore,democrat,9758.0,29525,20191203
2000,Alabama,AL,Cullman,1043.0,President,George W. Bush,republican,19157.0,29525,20191203
2000,Alabama,AL,Cullman,1043.0,President,Ralph Nader,green,282.0,29525,20191203
2000,Alabama,AL,Cullman,1043.0,President,Other,,328.0,29525,20191203
2000,Alabama,AL,Dale,1045.0,President,Al Gore,democrat,4906.0,15806,20191203
2000,Alabama,AL,Dale,1045.0,President,George W. Bush,republican,10593.0,15806,20191203
2000,Alabama,AL,Dale,1045.0,President,Ralph Nader,green,188.0,15806,20191203
2000,Alabama,AL,Dale,1045.0,President,Other,,119.0,15806,20191203
2000,Alabama,AL,Dallas,1047.0,President,Al Gore,democrat,10967.0,18464,20191203
2000,Alabama,AL,Dallas,1047.0,President,George W. Bush,republican,7360.0,18464,20191203
2000,Alabama,AL,Dallas,1047.0,President,Ralph Nader,green,63.0,18464,20191203
2000,Alabama,AL,Dallas,1047.0,President,Other,,74.0,18464,20191203
2000,Alabama,AL,DeKalb,1049.0,President,Al Gore,democrat,7056.0,20285,20191203
2000,Alabama,AL,DeKalb,1049.0,President,George W. Bush,republican,12827.0,20285,20191203
2000,Alabama,AL,DeKalb,1049.0,President,Ralph Nader,green,175.0,20285,20191203
2000,Alabama,AL,DeKalb,1049.0,President,Other,,227.0,20285,20191203
2000,Alabama,AL,Elmore,1051.0,President,Al Gore,democrat,6652.0,23804,20191203
2000,Alabama,AL,Elmore,1051.0,President,George W. Bush,republican,16777.0,23804,20191203
2000,Alabama,AL,Elmore,1051.0,President,Ralph Nader,green,212.0,23804,20191203
2000,Alabama,AL,Elmore,1051.0,President,Other,,163.0,23804,20191203
2000,Alabama,AL,Escambia,1053.0,President,Al Gore,democrat,4523.0,11660,20191203
2000,Alabama,AL,Escambia,1053.0,President,George W. Bush,republican,6975.0,11660,20191203
2000,Alabama,AL,Escambia,1053.0,President,Ralph Nader,green,78.0,11660,20191203
2000,Alabama,AL,Escambia,1053.0,President,Other,,84.0,11660,20191203
2000,Alabama,AL,Etowah,1055.0,President,Al Gore,democrat,17433.0,39348,20191203
2000,Alabama,AL,Etowah,1055.0,President,George W. Bush,republican,21087.0,39348,20191203
2000,Alabama,AL,Etowah,1055.0,President,Ralph Nader,green,435.0,39348,20191203
2000,Alabama,AL,Etowah,1055.0,President,Other,,393.0,39348,20191203
2000,Alabama,AL,Fayette,1057.0,President,Al Gore,democrat,3064.0,7808,20191203
2000,Alabama,AL,Fayette,1057.0,President,George W. Bush,republican,4582.0,7808,20191203
2000,Alabama,AL,Fayette,1057.0,President,Ralph Nader,green,60.0,7808,20191203
2000,Alabama,AL,Fayette,1057.0,President,Other,,102.0,7808,20191203
2000,Alabama,AL,Franklin,1059.0,President,Al Gore,democrat,4793.0,11103,20191203
2000,Alabama,AL,Franklin,1059.0,President,George W. Bush,republican,6119.0,11103,20191203
2000,Alabama,AL,Franklin,1059.0,President,Ralph Nader,green,72.0,11103,20191203
2000,Alabama,AL,Franklin,1059.0,President,Other,,119.0,11103,20191203
2000,Alabama,AL,Geneva,1061.0,President,Al Gore,democrat,2769.0,9559,20191203
2000,Alabama,AL,Geneva,1061.0,President,George W. Bush,republican,6588.0,9559,20191203
2000,Alabama,AL,Geneva,1061.0,President,Ralph Nader,green,97.0,9559,20191203
2000,Alabama,AL,Geneva,1061.0,President,Other,,105.0,9559,20191203
2000,Alabama,AL,Greene,1063.0,President,Al Gore,democrat,3504.0,4396,20191203
2000,Alabama,AL,Greene,1063.0,President,George W. Bush,republican,850.0,4396,20191203
2000,Alabama,AL,Greene,1063.0,President,Ralph Nader,green,24.0,4396,20191203
2000,Alabama,AL,Greene,1063.0,President,Other,,18.0,4396,20191203
2000,Alabama,AL,Hale,1065.0,President,Al Gore,democrat,4652.0,7731,20191203
2000,Alabama,AL,Hale,1065.0,President,George W. Bush,republican,2984.0,7731,20191203
2000,Alabama,AL,Hale,1065.0,President,Ralph Nader,green,43.0,7731,20191203
2000,Alabama,AL,Hale,1065.0,President,Other,,52.0,7731,20191203
2000,Alabama,AL,Henry,1067.0,President,Al Gore,democrat,2782.0,6932,20191203
2000,Alabama,AL,Henry,1067.0,President,George W. Bush,republican,4054.0,6932,20191203
2000,Alabama,AL,Henry,1067.0,President,Ralph Nader,green,48.0,6932,20191203
2000,Alabama,AL,Henry,1067.0,President,Other,,48.0,6932,20191203
2000,Alabama,AL,Houston,1069.0,President,Al Gore,democrat,9412.0,32057,20191203
2000,Alabama,AL,Houston,1069.0,President,George W. Bush,republican,22150.0,32057,20191203
2000,Alabama,AL,Houston,1069.0,President,Ralph Nader,green,257.0,32057,20191203
2000,Alabama,AL,Houston,1069.0,President,Other,,238.0,32057,20191203
2000,Alabama,AL,Jackson,1071.0,President,Al Gore,democrat,9066.0,17906,20191203
2000,Alabama,AL,Jackson,1071.0,President,George W. Bush,republican,8475.0,17906,20191203
2000,Alabama,AL,Jackson,1071.0,President,Ralph Nader,green,184.0,17906,20191203
2000,Alabama,AL,Jackson,1071.0,President,Other,,181.0,17906,20191203
2000,Alabama,AL,Jefferson,1073.0,President,Al Gore,democrat,129889.0,273763,20191203
2000,Alabama,AL,Jefferson,1073.0,President,George W. Bush,republican,138491.0,273763,20191203
2000,Alabama,AL,Jefferson,1073.0,President,Ralph Nader,green,3393.0,273763,20191203
