year,state,state_code,county,candidate,party,candidate_votes,total_votes
2016,Alabama,AL,Autauga,Hillary Clinton,democrat,5936.0,24973
2016,Alabama,AL,Autauga,Donald Trump,republican,18172.0,24973
2016,Alabama,AL,Baldwin,Hillary Clinton,democrat,18458.0,95215
2016,Alabama,AL,Baldwin,Donald Trump,republican,72883.0,95215
2016,Alabama,AL,Barbour,Hillary Clinton,democrat,4871.0,10469
2016,Alabama,AL,Barbour,Donald Trump,republican,5454.0,10469
2016,Alabama,AL,Bibb,Hillary Clinton,democrat,1874.0,8819
2016,Alabama,AL,Bibb,Donald Trump,republican,6738.0,8819
2016,Alabama,AL,Blount,Hillary Clinton,democrat,2156.0,25588
2016,Alabama,AL,Blount,Donald Trump,republican,22859.0,25588
2016,Alabama,AL,Bullock,Hillary Clinton,democrat,3530.0,4710
2016,Alabama,AL,Bullock,Donald Trump,republican,1140.0,4710
2016,Alabama,AL,Butler,Hillary Clinton,democrat,3726.0,8732
2016,Alabama,AL,Butler,Donald Trump,republican,4901.0,8732
2016,Alabama,AL,Calhoun,Hillary Clinton,democrat,13242.0,47864
2016,Alabama,AL,Calhoun,Donald Trump,republican,32865.0,47864
2016,Alabama,AL,Chambers,Hillary Clinton,democrat,5784.0,13900
2016,Alabama,AL,Chambers,Donald Trump,republican,7843.0,13900
2016,Alabama,AL,Cherokee,Hillary Clinton,democrat,1547.0,10733
2016,Alabama,AL,Cherokee,Donald Trump,republican,8953.0,10733
2016,Alabama,AL,Chilton,Hillary Clinton,democrat,2911.0,18369
2016,Alabama,AL,Chilton,Donald Trump,republican,15081.0,18369
2016,Alabama,AL,Choctaw,Hillary Clinton,democrat,3109.0,7292
2016,Alabama,AL,Choctaw,Donald Trump,republican,4106.0,7292
2016,Alabama,AL,Clarke,Hillary Clinton,democrat,5749.0,13031
2016,Alabama,AL,Clarke,Donald Trump,republican,7140.0,13031
2016,Alabama,AL,Clay,Hillary Clinton,democrat,1237.0,6624
2016,Alabama,AL,Clay,Donald Trump,republican,5245.0,6624
2016,Alabama,AL,Cleburne,Hillary Clinton,democrat,684.0,6593
2016,Alabama,AL,Cleburne,Donald Trump,republican,5764.0,6593
2016,Alabama,AL,Coffee,Hillary Clinton,democrat,4221.0,20767
2016,Alabama,AL,Coffee,Donald Trump,republican,15875.0,20767
2016,Alabama,AL,Colbert,Hillary Clinton,democrat,7312.0,24915
2016,Alabama,AL,Colbert,Donald Trump,republican,16746.0,24915
2016,Alabama,AL,Conecuh,Hillary Clinton,democrat,3080.0,6585
2016,Alabama,AL,Conecuh,Donald Trump,republican,3420.0,6585
2016,Alabama,AL,Coosa,Hillary Clinton,democrat,1782.0,5252
2016,Alabama,AL,Coosa,Donald Trump,republican,3381.0,5252
2016,Alabama,AL,Covington,Hillary Clinton,democrat,2387.0,15940
2016,Alabama,AL,Covington,Donald Trump,republican,13267.0,15940
2016,Alabama,AL,Crenshaw,Hillary Clinton,democrat,1664.0,6267
2016,Alabama,AL,Crenshaw,Donald Trump,republican,4513.0,6267
2016,Alabama,AL,Cullman,Hillary Clinton,democrat,3798.0,37873
2016,Alabama,AL,Cullman,Donald Trump,republican,32989.0,37873
2016,Alabama,AL,Dale,Hillary Clinton,democrat,4413.0,18749
2016,Alabama,AL,Dale,Donald Trump,republican,13808.0,18749
2016,Alabama,AL,Dallas,Hillary Clinton,democrat,12836.0,18792
2016,Alabama,AL,Dallas,Donald Trump,republican,5789.0,18792
2016,Alabama,AL,DeKalb,Hillary Clinton,democrat,3622.0,25826
2016,Alabama,AL,DeKalb,Donald Trump,republican,21405.0,25826
2016,Alabama,AL,Elmore,Hillary Clinton,democrat,8443.0,37260
2016,Alabama,AL,Elmore,Donald Trump,republican,27634.0,37260
2016,Alabama,AL,Escambia,Hillary Clinton,democrat,4605.0,14845
2016,Alabama,AL,Escambia,Donald Trump,republican,9935.0,14845
2016,Alabama,AL,Etowah,Hillary Clinton,democrat,10442.0,44164
2016,Alabama,AL,Etowah,Donald Trump,republican,32353.0,44164
2016,Alabama,AL,Fayette,Hillary Clinton,democrat,1362.0,8249
2016,Alabama,AL,Fayette,Donald Trump,republican,6712.0,8249
2016,Alabama,AL,Franklin,Hillary Clinton,democrat,2197.0,12040
2016,Alabama,AL,Franklin,Donald Trump,republican,9466.0,12040
2016,Alabama,AL,Geneva,Hillary Clinton,democrat,1525.0,11758
2016,Alabama,AL,Geneva,Donald Trump,republican,9994.0,11758
2016,Alabama,AL,Greene,Hillary Clinton,democrat,4013.0,4880
2016,Alabama,AL,Greene,Donald Trump,republican,838.0,4880
2016,Alabama,AL,Hale,Hillary Clinton,democrat,4775.0,8040
2016,Alabama,AL,Hale,Donald Trump,republican,3173.0,8040
2016,Alabama,AL,Henry,Hillary Clinton,democrat,2292.0,8072
2016,Alabama,AL,Henry,Donald Trump,republican,5632.0,8072
2016,Alabama,AL,Houston,Hillary Clinton,democrat,10664.0,42639
2016,Alabama,AL,Houston,Donald Trump,republican,30728.0,42639
2016,Alabama,AL,Jackson,Hillary Clinton,democrat,3673.0,20984
2016,Alabama,AL,Jackson,Donald Trump,republican,16672.0,20984
2016,Alabama,AL,Jefferson,Hillary Clinton,democrat,156873.0,304191
