year,state,state_po,county,candidate,party,candidatevotes,totalvotes
2000,Alabama,AL,Autauga,Al Gore,democrat,4942.0,17208
2000,Alabama,AL,Autauga,George W. Bush,republican,11993.0,17208
2000,Alabama,AL,Autauga,Ralph Nader,green,160.0,17208
2000,Alabama,AL,Baldwin,Al Gore,democrat,13997.0,56480
2000,Alabama,AL,Baldwin,George W. Bush,republican,40872.0,56480
2000,Alabama,AL,Baldwin,Ralph Nader,green,1033.0,56480
2000,Alabama,AL,Barbour,Al Gore,democrat,5188.0,10395
2000,Alabama,AL,Barbour,George W. Bush,republican,5096.0,10395
2000,Alabama,AL,Barbour,Ralph Nader,green,46.0,10395
2000,Alabama,AL,Bibb,Al Gore,democrat,2710.0,7101
2000,Alabama,AL,Bibb,George W. Bush,republican,4273.0,7101
2000,Alabama,AL,Bibb,Ralph Nader,green,52.0,7101
2000,Alabama,AL,Blount,Al Gore,democrat,4977.0,17973
2000,Alabama,AL,Blount,George W. Bush,republican,12667.0,17973
2000,Alabama,AL,Blount,Ralph Nader,green,154.0,17973
2000,Alabama,AL,Bullock,Al Gore,democrat,3395.0,4904
2000,Alabama,AL,Bullock,George W. Bush,republican,1433.0,4904
2000,Alabama,AL,Bullock,Ralph Nader,green,24.0,4904
2000,Alabama,AL,Butler,Al Gore,democrat,3606.0,7803
2000,Alabama,AL,Butler,George W. Bush,republican,4127.0,7803
2000,Alabama,AL,Butler,Ralph Nader,green,36.0,7803
2000,Alabama,AL,Calhoun,Al Gore,democrat,15781.0,38909
2000,Alabama,AL,Calhoun,George W. Bush,republican,22306.0,38909
2000,Alabama,AL,Calhoun,Ralph Nader,green,481.0,38909
2000,Alabama,AL,Chambers,Al Gore,democrat,5616.0,11834
2000,Alabama,AL,Chambers,George W. Bush,republican,6037.0,11834
2000,Alabama,AL,Chambers,Ralph Nader,green,95.0,11834
2000,Alabama,AL,Cherokee,Al Gore,democrat,3497.0,7823
2000,Alabama,AL,Cherokee,George W. Bush,republican,4154.0,7823
2000,Alabama,AL,Cherokee,Ralph Nader,green,77.0,7823
2000,Alabama,AL,Chilton,Al Gore,democrat,4806.0,15092
2000,Alabama,AL,Chilton,George W. Bush,republican,10066.0,15092
2000,Alabama,AL,Chilton,Ralph Nader,green,92.0,15092
2000,Alabama,AL,Choctaw,Al Gore,democrat,3707.0,7374
2000,Alabama,AL,Choctaw,George W. Bush,republican,3600.0,7374
2000,Alabama,AL,Choctaw,Ralph Nader,green,33.0,7374
2000,Alabama,AL,Clarke,Al Gore,democrat,4679.0,10752
2000,Alabama,AL,Clarke,George W. Bush,republican,5988.0,10752
2000,Alabama,AL,Clarke,Ralph Nader,green,33.0,10752
2000,Alabama,AL,Clay,Al Gore,democrat,2045.0,5883
2000,Alabama,AL,Clay,George W. Bush,republican,3719.0,5883
2000,Alabama,AL,Clay,Ralph Nader,green,52.0,5883
2000,Alabama,AL,Cleburne,Al Gore,democrat,1664.0,5092
2000,Alabama,AL,Cleburne,George W. Bush,republican,3333.0,5092
2000,Alabama,AL,Cleburne,Ralph Nader,green,39.0,5092
2000,Alabama,AL,Coffee,Al Gore,democrat,5220.0,15434
2000,Alabama,AL,Coffee,George W. Bush,republican,9938.0,15434
2000,Alabama,AL,Coffee,Ralph Nader,green,155.0,15434
2000,Alabama,AL,Colbert,Al Gore,democrat,10543.0,21532
2000,Alabama,AL,Colbert,George W. Bush,republican,10518.0,21532
2000,Alabama,AL,Colbert,Ralph Nader,green,208.0,21532
2000,Alabama,AL,Conecuh,Al Gore,democrat,2783.0,5551
2000,Alabama,AL,Conecuh,George W. Bush,republican,2699.0,5551
2000,Alabama,AL,Conecuh,Ralph Nader,green,35.0,5551
2000,Alabama,AL,Coosa,Al Gore,democrat,2104.0,4567
2000,Alabama,AL,Coosa,George W. Bush,republican,2382.0,4567
2000,Alabama,AL,Coosa,Ralph Nader,green,34.0,4567
2000,Alabama,AL,Covington,Al Gore,democrat,4440.0,13613
2000,Alabama,AL,Covington,George W. Bush,republican,8961.0,13613
2000,Alabama,AL,Covington,Ralph Nader,green,123.0,13613
2000,Alabama,AL,Crenshaw,Al Gore,democrat,1934.0,4795
2000,Alabama,AL,Crenshaw,George W. Bush,republican,2793.0,4795
2000,Alabama,AL,Crenshaw,Ralph Nader,green,40.0,4795
2000,Alabama,AL,Cullman,Al Gore,democrat,9758.0,29525
2000,Alabama,AL,Cullman,George W. Bush,republican,19157.0,29525
2000,Alabama,AL,Cullman,Ralph Nader,green,282.0,29525
2000,Alabama,AL,Dale,Al Gore,democrat,4906.0,15806
2000,Alabama,AL,Dale,George W. Bush,republican,10593.0,15806
2000,Alabama,AL,Dale,Ralph Nader,green,188.0,15806
2000,Alabama,AL,Dallas,Al Gore,democrat,10967.0,18464
2000,Alabama,AL,Dallas,George W. Bush,republican,7360.0,18464
2000,Alabama,AL,Dallas,Ralph Nader,green,63.0,18464
2000,Alabama,AL,DeKalb,Al Gore,democrat,7056.0,20285
2000,Alabama,AL,DeKalb,George W. Bush,republican,12827.0,20285
2000,Alabama,AL,DeKalb,Ralph Nader,green,175.0,20285
2000,Alabama,AL,Elmore,Al Gore,democrat,6652.0,23804
2000,Alabama,AL,Elmore,George W. Bush,republican,16777.0,23804
